STG,SCG,STR,LPR,PEG,UNS
0.08,0.18,0.63,0.6,0.85,High
0.2,0.2,0.68,0.67,0.85,High
0.22,0.22,0.9,0.3,0.9,High
0.2,0.2,0.88,0.77,0.8,High
0.21,0.32,0.25,0.5,0.8,High
0.23,0.29,0.45,0.18,0.88,High
0.22,0.31,0.42,0.88,0.8,High
0.2,0.32,0.65,0.31,0.89,High
0.11,0.3,0.79,0.8,0.32,Middle
0.18,0.31,0.81,0.7,0.4,Middle
0.22,0.48,0.47,0.78,0.81,High
0.2,0.49,0.68,0.76,0.78,High
0.2,0.85,0.24,0.79,0.85,High
0.21,0.78,0.42,0.32,0.84,High
0.14,0.61,0.39,0.56,0.56,Middle
0.18,0.7,0.41,0.67,0.33,Middle
0.22,0.8,0.44,0.78,0.88,High
0.11,0.88,0.67,0.66,0.89,High
0.21,0.9,0.9,0.22,0.92,High
0.21,0.88,0.87,0.56,0.95,High
0.22,0.86,0.83,0.89,0.65,High
0.2,0.78,0.91,0.82,0.85,High
0.3,0.18,0.23,0.9,0.84,High
0.31,0.2,0.46,0.78,0.83,High
0.32,0.15,0.66,0.24,0.82,High
0.33,0.2,0.64,0.59,0.94,High
0.31,0.15,0.58,0.76,0.52,Middle
0.3,0.16,0.89,0.32,0.95,High
0.32,0.2,0.84,0.81,0.8,High
0.31,0.32,0.29,0.31,0.96,High
0.32,0.31,0.26,0.83,0.77,High
0.3,0.32,0.43,0.87,0.83,High
0.31,0.32,0.69,0.3,0.98,High
0.29,0.74,0.39,0.41,0.54,Middle
0.31,0.82,0.47,0.4,0.99,High
0.28,0.55,0.38,0.9,0.22,Low
0.47,0.47,0.25,0.96,0.61,High
0.4,0.59,0.77,0.99,0.24,Middle
0.43,0.65,0.76,0.94,0.29,Middle
0.8,0.24,0.23,0.29,0.98,High
0.68,0.16,0.2,0.59,0.6,Middle
0.75,0.22,0.24,0.96,0.62,High
0.87,0.23,0.25,0.85,0.8,High
0.68,0.15,0.58,0.35,0.6,Middle
0.9,0.31,0.24,0.3,0.97,High
0.85,0.32,0.22,0.87,0.79,High
0.78,0.47,0.24,0.3,0.93,High
0.78,0.47,0.29,0.98,0.59,High
0.68,0.43,0.6,0.47,0.55,Middle
0.9,0.78,0.62,0.32,0.89,High
0.85,0.82,0.66,0.83,0.83,High
0.66,0.68,0.81,0.57,0.57,Middle
0.68,0.64,0.79,0.97,0.24,Middle
